%<X-coord>,<Y-coord>,<Polarization>,<wavelength>,<type>,<deviceID>,<comment>
25667.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_61,no commment
26267.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_62,no commment
25967.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_63,no commment
25667.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_64,no commment
25667.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_65,no commment
25967.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_66,no commment
26267.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_67,no commment
27167.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_68,no commment
26567.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_69,no commment
26867.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_70,no commment
28367.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_71,no commment
28367.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_72,no commment
28652.012,7155.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_73,no commment
28652.012,7455.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_74,no commment
28952.012,7155.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_75,no commment
28952.012,7455.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_76,no commment
29252.012,7155.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_77,no commment
29252.012,7455.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_78,no commment
27767.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_79,no commment
28067.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_80,no commment
28067.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_81,no commment
27767.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_82,no commment
27467.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_83,no commment
27467.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_84,no commment
27767.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_85,no commment
28067.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_86,no commment
27467.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_87,no commment
28367.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_88,no commment
28652.012,6555.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_89,no commment
28952.012,6555.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_90,no commment
29252.012,6555.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_91,no commment
29252.012,6855.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_92,no commment
28952.012,6855.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_93,no commment
28652.012,6855.428,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_94,no commment
24767.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_95,no commment
24767.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_96,no commment
25067.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_97,no commment
25067.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_98,no commment
25367.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_99,no commment
25367.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_100,no commment
23867.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_101,no commment
23867.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_102,no commment
24167.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_103,no commment
24167.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_104,no commment
24467.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_105,no commment
24467.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_106,no commment
23867.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_107,no commment
24167.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_108,no commment
24467.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_109,no commment
24467.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_110,no commment
24167.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_111,no commment
23867.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_112,no commment
24767.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_113,no commment
24767.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_114,no commment
25067.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_115,no commment
25367.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_116,no commment
25367.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_117,no commment
25067.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_118,no commment
22967.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_119,no commment
22967.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_120,no commment
23267.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_121,no commment
23267.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_122,no commment
23567.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_123,no commment
23567.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_124,no commment
22067.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_125,no commment
22067.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_126,no commment
22367.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_127,no commment
22367.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_128,no commment
22667.692,8287.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_129,no commment
22667.692,8587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_130,no commment
22067.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_131,no commment
22367.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_132,no commment
22667.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_133,no commment
22667.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_134,no commment
22367.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_135,no commment
22067.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_136,no commment
